Student_Code,Student_ID,Student_Name,Email,MSTE_AVE,HPGE_AVE,PSAD_AVE,GWA,COMPREHENSION_INDEX,Graduated_with_Latin,Age,Gender,Father_Monthly_Income,Father_Educational_Attainment,Mother_Monthly_Income,Mother_Educational_Attainment,Location,Exam_year,Months_prep,Year_Level
11-22-28,2021100441,"MADRIGAL, JENNIFER HERNANDEZ",jennifermadrigal@icloud.com,1.53,2.3,1.67,1.82,N/A,NO,23,female,≤9999,College Graduate,5000-9999,Elementary Graduate,Outside City,2022,6,5th Year
11-22-29,2020100317,"TORRES, OSCAR AGUILAR",oscar_torres@icloud.com,1.59,2.7,1.55,1.81,2.55,NO,23,M,Low Income,College level,Middle Income,N/A,Outside City,2022,6,4th Year
11-22-30,2014102683,"PAREDES, JERICA MAE BETINOL",jerica.paredes28@yahoo.com,2.66,2.22,2.64,2.47,1.75,No,29,F,Middle Income,N/A,Middle Income,College Graduate,Within City,2022,6,4th Year
11-22-31,2019106071,"TAN, EDMON JULES ARIAS",edmontan32@icloud.com,2.56,2.53,1.63,2.38,2.54,NO,31,M,Low Income,High School Graduate,Low Income,College Graduate,Outside City,2022,6,5th Year
11-22-32,2017105280,"VILLANUEVA, ANDRE JOHANN BERNARDO",andre_villanueva@icloud.com,2.06,2.44,2.21,2.29,2.12,NO,25,M,Low Income,College Graduate,Low Income,Highschool Level,Outside City,2022,6,4th Year
11-22-33,2016101402,"SALAZAR, PATRICK TORRES",patrick_salazar71@yahoo.com,2.19,1.8,2.1,2.09,1.52,NO,24,M,Low Income,Highschool Level,Middle Income,College level,Outside City,2022,6,5th Year
11-22-34,2021105419,"BERNARDO, MARICEL OGUIMAS",maricel_bernardo71@icloud.com,1.88,1.79,2.4,1.97,2.69,NO,23,F,Low Income,College Graduate,Low Income,Master's Degree,Outside City,2022,6,5th Year
11-22-35,2017103727,"OCAMPO, MARY ROSE ARIAS",mary_ocampo88@yahoo.com,2.39,1.66,1.56,1.74,2.68,YES,32,F,low,College level,Middle income,High School Graduate,Outside City,2022,6,5th Year
11-22-36,2013104136,"GINGONE, MARY JOY SANTOS",mary.gingone@yahoo.com,2.11,2.22,2.36,2.13,2.69,NO,21,F,High Income,College Graduate,Low Income,College level,Within City,2022,6,4th Year
11-22-37,2020104871,"MADRIGAL, CLARA SORIANO",clara.madrigal@gmail.com,1.58,2.7,1.62,2.05,1.83,NO,21,F,Low Income,N/A,Low Income,N/A,Outside City,2022,6,5th Year
11-22-38,2016104720,"BERNARDO, MARICEL JAGUALING",maricel_bernardo@outlook.com,2.36,2.65,2.48,2.53,2.67,NO,26,F,Low Income,N/A,Low Income,Elementary Graduate,Within City,2022,6,4th Year
11-22-39,2017109749,"SYLEE, JASMINE RAMOS",jasmine_sylee@icloud.com,2.36,2.37,2.68,2.47,1.6,NO,20,F,Middle Income,College level,Middle Income,N/A,Within City,2022,6,5th Year
11-22-40,2017109441,"ALPAS, ARISTOTLE GARCIA",aristotlealpas48@yahoo.com,2.15,2.05,1.85,2.17,2.52,NO,21,M,Low Income,Highschool Level,Low Income,N/A,Within City,2022,6,Yr. 4
11-22-41,2020104722,"JAVIER, FELICIA HIPONA",feliciajavier@icloud.com,2.07,1.89,1.9,2.09,2.14,NO,20,F,Middle Income,High School Graduate,Low Income,N/A,Outside City,2022,6,5th Year
11-22-42,2013103335,"TALJA, CARLA GUIBONE",carlatalja72@icloud.com,2.05,2.37,1.65, 2.17,1.8,NO,22,F,Low Income,High School Graduate,Low Income,N/A,Within City,2022,6,5th Year
11-22-43,2015108165,"CASTILLO, TANYA REYES",tanya_castillo@icloud.com,2.54,2.73,1.8,2.37,2.65,NO,28,F,Middle Income,N/A,Low Income,College Graduate,Outside City,2022,6,4th Year
11-22-44,2021104377,"OCAMPO, GERALD NATIVIDAD",geraldocampo@yahoo.com,2.23,2.75,2.11,2.26,1.93,NO,28,M,Middle Income,College Graduate,Low Income,College Graduate,in city,2022,6,4th Year
11-22-45,2019100715,"TRINIDAD, LORENA PERALTA",lorena.trinidad27@,2.64,1.98,2.74,2.54,1.69,NO,20,F,Low Income,Highschool Level,High Income,N/A,Outside City,2022,6,4th Year
11-22-46,2020100251,"ABANIL, VICTOR JAGUALING",victor.abanil@gmail.com,2.09,2.71,1.92,2.3,2.56,NO,30,M,Middle Income,Highschool Level,Low Income,College Graduate,Outside City,2022,6,4th Year
11-22-47,2016104708,"NILLAS, JEROME FLORES",jerome.nillas@hotmail.com,2.72,2.45,2.38,2.4,,NO,20,M,low-income,Elementary Graduate,MIDDLE INCOME,High School Graduate,Within City,2022,6,5th Year
11-22-48,2015102785,"UMALI, ANDRE JOHANN RAMIREZ",andre.umali@gmail.com,1.98,2.35,2.12,2.17,2.3,NO,27,M,Low Income,College Graduate,Low Income,College Graduate,Within City,2022,6,4th Year
11-22-49,2018109626,"MAGNO, ANGELA JIMENEZ",angela.magno79@yahoo.com,1.81,2.56,1.75,2.01,1.8,NO,29,F,Low Income,College Graduate,Low Income,N/A,Outside City,2022,6,4th Year
11-22-50,2013109935,"FLORES, ROSA MANALO",rosaflores33@hotmail.com,2.5,1.77,1.74,1.93,2.46,NO,22,F,Middle Income,College level,High Income,Highschool Level,Outside City,2022,6,4th Year
11-22-51,2015101476,"ESTRADA, ELENA RAPLIZA", elena_estrada@gmail.com,1.75,2.48,2.6,2.24,1.84,NO,22,F,below 10k,High School Graduate,10k-30k,College Graduate,Outside City,2022,6,5
11-22-52,2014102306,"JIMENEZ, THOMAS PAREDES",THOMAS_JIMENEZ60@ICLOUD.COM,2.51,1.96,2.49,2.17,2.07,NO,30,M,Middle Income,High School Graduate,Low Income,College level,Outside City,2022,6,5th Year
11-22-53,2020100410,"TORRES, STEPHANIE AGUILAR",stephanie_torres@gmail.com,1.58,2.53,2.64,2.19,1.67,NO,20,F,Low Income,N/A,Low Income,College Graduate,Within City,2022,6,5th Year
11-22-54,2021106866,"PABILLARAN, VICTOR NATIVIDAD",victorpabillaran44@icloud.com,2.11,2.01,2.69,"2,13",2.05,n,23,M,Middle Income,COLLEGE GRADUATE,Low Income,HS Graduate,Outside City,2022,6,5th Year
11-22-55,2016102001,"GARCIA, RIA COLLEEN AGUILAR",riagarcia@,2.3,2.71,1.56,2.14,2.48,NO,23,female,low,N/A,Mid-Income,N/A,Within City,2022,6,4
4-23-01,2013104542,"ICASIANO, CARLO ASAS",carloicasiano@hotmail.com,2.5,1.64,2.58,2.13,2.49,NO,29,M,Low Income,N/A,Low Income,College Graduate,Within City,2023,11,5th Year
4-23-02,2018108408,"CANLAS, NESTOR MERCADAL",nestor.canlas98@gmail.com,2.68,1.55,2.48,2.35,2.07,NO,20,M,Low Income,High School Graduate,Low Income,College Graduate,Outside City,2023,35,5th Year
4-23-03,2014105277,"TALJA, REYMARK OGUIMAS",reymarktalja34@yahoo.con,2.28,2.23,2.39,2.26,1.87,NO,28,M,Middle Income,College Graduate,Low Income,College Graduate,Within City,2023,35,Yr. 4
4-23-04,2016106779,"PERALTA, LAURA REYES",laura_peralta@hotmail.com,2.41,1.89,1.89,1.99,,NO,21,F,,NA,Low Income,COLLEGE GRADUATE,Within City,2023,,5th Year
4-23-05,2021109202,"SYLEE, KRISTINE REYES",kristinesylee65@yahoo.com,1.94,2.33,2.44,2.35,2.71,NO,29,F,Low Income,High School Graduate,Low Income,N/A,Outside City,2023,11,4th Year
4-23-06,2018109113,"VILLANUEVA, MARY JOY NAVARRO",maryvillanueva@yahoo.com,1.78,2.04,2.2,2.09,2.34,NO,28,F,Low Income,College Graduate,High Income,Elementary Graduate,Within City,2023,35,4th Year
4-23-07,2017105567,"AMARGA, TRISHA MAE RAMIREZ",trisha_amarga@yahoo.com,1.68,2.32,1.59,1.94,1.61,NO,26,F,Low Income,High School Graduate,Low Income,College Graduate,Within City,2023,11,4th Year
4-23-08,2013101336,"MAGNO, JASMINE TORRES",jasminemagno64@gmail.com,2.26,2.02,1.77,2.02,1.64,NO,30,F,Middle Income,College Graduate,Low Income,N/A,Outside City,2023,11,4th Year
4-23-09,2017103460,"MENDOZA, ARISTOTLE GUIBONE",aristotle.mendoza36@outlook.com,1.91,1.51,2.43,1.850,2.38,NO,30,M,Middle Income,College Graduate,Low Income,N/A,Within City,2023,35,5
4-23-10,2018109433,"PERALTA, PATRICIA PERALTA",patricia.peralta89@icloud.com,2.3,1.86,2.01,2.2,2.68,NO,27,F,Middle Income,0,High Income,CG,Within City,2023,35,5th Year
4-23-11,2021101288,"TAN, CLARA MERCADAL",claratan45@gmail.com,1.92,1.71,2.14,1.81,2.63,NO,31,F,HIGH INCOME,N/A,mid income,N/A,Outside City,2023,11,5th Year
4-23-12,2015101234,"AUSTRIA, ELIEZER RAMOS",eliezer.austria@icloud.com,2.44,2.45,2.06,2.44,2.29,NO,29,M,Low Income,Highschool Level,High Income,High School Graduate,Outside City,2023,35,4th Year
4-23-13,2017109689,"CANLAS, OSCAR JAGUALING",OSCAR.CANLAS@ICLOUD.COM,1.89,2.06,1.57,1.94,N/A,NO,21,M,Middle Income,High School Graduate,Low Income,College level,Within City,2023,35,5th Year
4-23-14,2016105267,"ABANIL, TANYA BAGAYNA",tanyaabanil@icloud.com,2.06,2.51,2.55,2.52,N/A,NO,30,female,Low Income,High School Graduate,Low Income,High School Graduate,Within City,2023,35,4th Year
4-23-15,2017106347,"TAN, CARMEN VEGA",carmentan@gmail.com,2.25,2.49,2.31,2.22,N/A,NO,30,F,Low Income,College Graduate,Low Income,Master's Degree,Within City,2023,35,4th Year
4-23-16,2015105731,"JIMENEZ, MELISSA FERNANDEZ",melissa_jimenez@icloud.com,2.24,2.67,1.89,2.23,2.52,NO,30,F,Middle Income,Master's Degree,High Income,College Graduate,Within City,2023,35,4
4-23-17,2013105940,"GARCIA, MARY ROSE LEMOSENIRO",mary.garcia56@gmail.com,2.68,2.11,1.78,2.08,N/A,NO,32,F,Low Income,College Graduate,Middle Income,College Graduate,Within City,2023,35,5th Year
4-23-18,2015109785,"ACAIN, RIKKA MELISSE RAPLIZA",rikkaacain51@icloud.com,2.54,2.46,2.51,2.4,2.01,0,30,F,Middle Income,College level,High Income,College Graduate,Outside City,2023,11,fifth year
4-23-19,2017107684,"NATIVIDAD, SAMUEL GOMEZ",samuelnatividad@yahoo.com,2.08,1.85,1.98,1.98,2.52,NO,22,M,Middle Income,High School Graduate,Low Income,High School Graduate,Within City,2023,11,5th Year
4-23-20,2015104469,"ABAD, TANYA NATIVIDAD",tanya.abad@hotmail.com,2.05,2.68,1.78,2.16,1.53,NO,20,F,Low Income,high school graduate,Low Income,n/a,Within City,2023,11,4
4-23-21,2014105493,"BACONGUIS, CARLO GUIBONE",carlo_baconguis@hotmail.com,2.65,2.09,2.54,2.5,2.27,NO,21,M,Low Income,N/A,Low Income,College Graduate,Outside City,2023,11,4th Year
4-23-22,2016104934,"GOMEZ, ELJOHN REYES",eljohngomez61@yahoo.com,2.3,2.28,1.58,2.15,2.17,NO,30,M,Low Income,N/A,Low Income,High School Graduate,Outside City,2023,11,5th Year
4-23-23,2015101402,"FAJARDO, ROSE DAISY JANE PASCUAL",rosefajardo@gmail.com,2.13,2.74,2.19,2.32,2.29,NO,25,F,Low Income,College Graduate,Low Income,Highschool Level,Within City,2023,35,4th Year
4-23-24,2018108945,"ALPAS, MELISSA NATIVIDAD",melissa.alpas@hotmail.com,2.47,2.08,2.37,2.35,1.58,NO,32,F,High Income,N/A,Low Income,College Graduate,Within City,2023,35,5th Year
4-23-25,2021106524,"BACONGUIS, LIZA MAGNO",lizabaconguis18@yahoo.com,2.31,1.86,2.58,2.11,1.84,NO,32,F,Low Income,5,Middle Income,CG,Outside City,2023,35,5th Year
4-23-26,2020108151,"ENRIQUEZ, MARICRIS OGUIMAS",maricris.enriquez4@yahoo.com,2.5,2.41,1.6,,,NO,25,F,Low Income,Elementary Graduate,Low Income,High School Graduate,Outside City,2023,11,5th Year
4-23-27,2018107325,"MANALO, PATRICK SORIANO",patrick_manalo@hotmail.com,2.75,1.84,2.73,2.57,N/A,n,30,Male,Low Income,College Graduate,Low Income,N/A,WITHIN CITY,2023,11,4th Year
4-23-28,2020100570,"GOMEZ, REYMARK SUAREZ",reymark_gomez34@yahoo.com,2.31,1.95,2.69,2.18,2.06,NO,25,M,Low Income,College level,Middle Income,High School Graduate,Outside City,2023,35,5
4-23-29,2016101858,"AMARGA, JEROME TORRES",jerome.amarga95@icloud.com,2.15,2.64,1.65,2.23,1.77,NO,29,M,Low Income,High School Graduate,High Income,N/A,Within City,2023,35,4th Year
4-23-30,2020101438,"DIZON, KRISTINE PERALTA",kristinedizon75@hotmail.com,1.58,2.18,2.61,2.23,2.66,NO,30,F,Low Income,N/A,Low Income,Master's Degree,Within City,2023,11,4th Year
4-23-31,2013105912,"JAVIER, LAURA FERNANDEZ",laura.javier@hotmail.com,2.26,1.61,1.89,2.07,2.16,NO,32,F,Low Income,N/A,Middle Income,Highschool Level,Within City,2023,35,5th Year
4-23-32,2021105644,"JAVIER, ELIEZER DELA CRUZ",eliezerjavier3@yahoo.com,2.23,2.46,1.66,2.12,2.54,NO,28,M,Low Income,2,Low Income,college graduate,outside,2023,35,5th Year
4-23-33,2017103216,"OCAMPO, ZENNIEL JESSA SORIANO",zennielocampo@yahoo.com,2.17,2.13,1.71,2.14,2.32,NO,31,F,>30000,College Graduate,below 10k,N/A,Within City,2023,11,Yr. 5
4-23-34,2017103453,"AMPO, STEPHANIE TORRES",stephanie.ampo@hotmail.com,2.61,2.18,2.3,2.3,2.51,NO,26,F,Low Income,N/A,Low Income,High School Graduate,Outside City,2023,35,5th Year
4-23-35,2015105121,"DIZON, ROWENA SANTOS",rowena.dizon42@gmail.com,1.66,1.96,2.2,"1,89",1.83,NO,21,F,Low Income,College Graduate,High Income,High School Graduate,Within City,2023,35,4th Year
4-23-36,2018103110,"DAVID, PAUL RAMOS",pauldavid@yahoo.com,2.12,1.89,1.53,1.98,2.71,NO,25,M,Low Income,College level,Low Income,College Graduate,Outside City,2023,35,4th Year
4-23-37,2014107060,"SORIANO, CRIS MAGNO",cris_soriano@hotmail.com,2.0,1.56,1.56,1.73,1.86,YES,27,M,MIDDLE INCOME,Master's Degree,low income,College Graduate,Within City,2023,11,5th Year
4-23-38,2019106114,"SORIANO, CARLA MAGNO",carla_soriano@gmail.com,1.68,2.25,2.0,1.84,N/A,NO,32,F,Low Income,College level,Low Income,High School Graduate,Outside City,2023,35,4
4-23-39,2017109727,"DAVID, TANYA PASCUAL",tanya_david@outlook.com,2.11,2.2,2.09,1.99,1.64,NO,24,F,Middle Income,College Graduate,Middle Income,N/A,Outside City,2023,35,4th Year
4-23-40,2016100841,"FAJARDO, ALVIE JOIE DELA CRUZ",alvie_fajardo66@hotmail.com,2.4,2.47,1.98,2.38,2.22,NO,31,F,Low Income,Highschool Level,Low Income,N/A,Within City,2023,35,4th Year
4-23-41,2020101020,"CRUZ, EMMANUEL JR MORALES",emmanuel.cruz90@hotmail.com,1.91,2.33,2.16,2.08,2.64,no,25,M,Low Income,College Graduate,Middle Income,College Graduate,Outside City,2023,35,4th Year
4-23-42,2016104571,"OCAMPO, MARIA SUAREZ",maria.ocampo@icloud.com,1.86,1.76,2.38,1.95,2.67,NO,24,F,Low Income,High School Graduate,Middle Income,College Graduate,Outside City,2023,35,4th Year
4-23-43,2015104758,"NACASABOG, GERALD RETERACION",gerald.nacasabog51@outlook.com,2.66,2.32,2.43,2.38,1.84,NO,28,M,Middle Income,College level,Low Income,College level,Within City,2023,11,5th Year
4-23-44,2021103697,"PABILLARAN, ELJOHN REYES",eljohn.pabillaran@icloud.com,1.91,2.09,2.35,2.01,2.72,NO,22,M,Low Income,College Graduate,High Income,High School Graduate,Within city,2023,35,4th Year
4-23-45,2013101465,"BACONGUIS, PAUL CHRISTIAN RAPLIZA",paul.baconguis28@gmail.com,2.02,2.55,2.67,2.27,2.48,NO,22,M,High Income,College Graduate,High Income,College Graduate,Within City,2023,35,5th Year
4-23-46,2014105489,"ICASIANO, LAURA OCAMPO",laura.icasiano92@yahoo.com,2.12,2.67,2.56,2.44,1.64,false,22,F,,College Graduate,Middle Income,N/A,Outside City,2023,35,5th Year
4-23-47,2016102875,"DAVID, HANNAH BEHAGAN",hannah_david18@yahoo.com,1.61,2.34,1.73,1.79,1.81,NO,23,F,Low Income,Highschool Level,Low Income,College level,Within City,2023,35,5th Year
4-23-48,2016101017,"PASCUAL, RYAN DICTO",ryanpascual13@icloud.com,2.01,2.13,2.62,2.31,1.65,0,24,M,Low Income,Master's Degree,Low Income,High School Graduate,Outside City,2023,35,5th Year
4-23-49,2021107714,"RAMOS, ARISTOTLE VEGA",aristotle.ramos@yahoo.com,2.44,2.59,1.6,2.19,1.6,NO,29,M,"PHP 5,000",College Graduate,10k-30k,N/A,In City,2023,11,4th Year
4-23-50,2021107239,"CRUZ, THOMAS PERALTA",thomascruz56outlook.com,2.23,1.61,2.14,2.09,2.14,NO,27,male,Middle Income,,Middle Income,Highschool Level,Within City,2023,,4th Year
4-23-51,2013103570,"MAGNO, ARGIE RETERACION",argie_magno26@,2.38,2.18,1.58,2.16,2.09,NO,24,1,Low Income,College Graduate,Middle Income,Master's Degree,Outside City,2023,35,5th Year
4-23-52,2019107348,"NACASABOG, BIANCA VEGA",bianca.nacasabog93@gmail.com,2.71,2.59,1.67,2.43,2.74,NO,26,F,Low Income,N/A,Middle Income,N/A,Within City,2023,35,5th Year
4-23-53,2021106948,"RAMOS, MARIA RAMOS",maria_ramos71@icloud.com,1.93,1.84,2.67,2.21,2.51,NO,26,F,Middle Income,College Graduate,High Income,N/A,Within City,2023,11,4th Year
4-23-54,2020109794,"BAGONGON, AARON SANTOS",aaronbagongon3@outlook.com,2.05,2.17,2.44,2.3,2.74,NO,23,M,Middle Income,Highschool Level,Middle Income,College level,Outside City,2023,11,5th Year
4-23-55,2015108540,"OCAMPO, VICTOR OGUIMAS",victorocampo80@hotmail.com,1.58,2.69,2.6,2.41,2.03,NO,27,M,Low Income,College level,Low Income,High School Graduate,Outside City,2023,35,5th Year
7-21-01,2017106167,"GUEVARA, ARISTOTLE GARCIA",aristotle.guevara@gmail.com,1.8,1.78,2.57,1.94,1.57,NO,26,M,"PHP 15,000",N/A,<10000,N/A,Within City,2021,12,4th Year
7-21-02,2014108775,"CASTILLO, ELJOHN VEDRA",eljohn.castillo34@gmail.com,2.34,2.25,2.59,2.3,2.41,NO,28,M,Low Income,College Graduate,Low Income,Highschool Level,In City,2021,6,5th Year
7-21-03,2014107846,"SUAREZ, CHARLES PERALTA",charles.suarez@icloud.com,1.76,2.64,2.19,2.28,2.17,NO,25,M,Low Income,College Graduate,Low Income,High School Graduate,Outside City,2021,12,4th Year
7-21-04,2018105126,"MADRIGAL, IRENE CELLE RAMIREZ",irenemadrigal34@yahoo.com,1.78,1.68,1.83,1.89,2.02,YES,25,0,Low Income,N/A,Middle Income,College level,Outside City,2021,12,5th Year
7-21-05,2020108037,"MANALO, ALVIE JOIE DICTO",alviemanalo66@outlook.com,1.67,2.18,1.73,1.98,2.7,NO,21,Female,High Income,College Graduate,Middle Income,High School Graduate,Within City,2021,6,4th Year
7-21-06,2013103583,"GEPULANGO, PEARL SORIANO",pearl.gepulango@yahoo.com,2.3,2.67,2.64,"2,58",N/A,NO,28,F,Middle Income,High School Graduate,Low Income,Elementary Graduate,Outside City,2021,6,4th Year
7-21-07,2019102937,"FAJARDO, JOSE TADEO",jose_fajardo10@gmail.com,1.8,2.27,1.82,1.92,1.6,NO,27,M,Middle Income,N/A,High Income,College Graduate,Within City,2021,6,5th Year
7-21-08,2019106179,"ALBISO, MERIAN JIMENEZ",merianalbiso12@gmail.com,1.71,2.12,2.04,2.04,2.57,NO,21,F,Middle Income,N/A,High Income,College Graduate,Outside City,2021,12,4
7-21-09,2014104593,"MORALES, MIGUEL BETINOL",miguelmorales@outlook.com,2.7,2.23,2.44,"2,52",1.6,NO,22,M,Middle Income,5,Middle Income,5,Outside City,2021,12,4th Year
7-21-10,2015101284,"PABILLARAN, MERIAN FLORES",merian.pabillaran@outlook.com,1.79,1.6,2.26,1.92,2.71,NO,30,F,Low Income,High School Graduate,High Income,High School Graduate,Outside City,2021,12,5th Year
7-21-11,2019101404,"RAMOS, MARICRIS PERALTA",maricrisramos54@hotmail.com,1.59,1.83,1.97,1.88,1.99,NO,21,F,LowIncome,High School Graduate,LowIncome,Elementary Graduate,within city,2021,6,4th Year
7-21-12,2020109125,"AMPO, JERICA MAE PADLA",jerica.ampo@gmail.com,1.94,1.62,2.25,1.88,1.86,0,21,F,Middle Income,Master's Degree,Middle Income,N/A,Within City,2021,12,4th Year
7-21-13,2017104933,"ABAD, RACHEL JAGUALING",rachel.abad@yahoo.com,1.71,1.84,1.87,1.89,2.68,NO,27,F,Middle Income,N/A,Low Income,Highschool Level,outside,2021,12,5th Year
7-21-14,2019105399,"TOLENTINO, GRACE LACSON",grace.tolentino40@hotmail.com,2.53,2.31,2.24,2.3,2.37,NO,27,F,Low Income,Master's Degree,High Income,Elementary Graduate,Outside City,2021,6,5th Year
7-21-15,2017106437,"MADRIGAL, MARY JOY PESIDAS",mary.madrigal38@hotmail.com,2.24,2.18,2.35,2.27,2.08,0,31,F,Low Income,College Graduate,Middle Income,N/A,Outside City,2021,12,4th Year
7-21-16,2017103965,"ABANIL, KRISTINE PERALTA",kristineabanil23@outlook.com,2.03,1.97,2.06,2.05,2.17,NO,31,F,Low Income,Master's Degree,Low Income,College Graduate,Within City,2021,6,4th Year
7-21-17,2018102725,"PERALTA, MARK ANTHONY MAGNO",mark.peralta@,1.91,2.5,1.63,1.89,2.43,NO,31,M,Middle Income,High School Graduate,Low Income,College Graduate,Within City,2021,12,5th Year
